stock_id,liquidity_regime,n_time_ids,ols_median_QLIKE,ols_median_MSE,ols_mean_beta_d,ols_mean_beta_w,ols_mean_beta_m,ols_mean_r2,wls_median_QLIKE,wls_median_MSE,wls_mean_beta_d,wls_mean_beta_w,wls_mean_beta_m,wls_mean_r2,winner,median_QLIKE,median_MSE
99,liquid,1915,-7.044598664145191,5.533834162875631e-09,0.0898149078265422,0.1550703660361926,-1.2737264411616798,0.2288368644560279,-7.040376448196669,5.1025090070905195e-09,0.0732625029934746,0.0700999071821657,-1.2048212887037033,0.2311735358762845,OLS,-7.044598664145191,5.1025090070905195e-09
101,mixed,3824,-6.144722330675931,2.469212884525749e-08,0.1252428582752036,0.1975095285191934,-1.255665370742569,0.2327189893751975,-6.145948919806356,2.4451086148484842e-08,0.1082397254904706,0.1104807555839965,-1.1749062376031711,0.2314994144329458,WLS,-6.145948919806356,2.4451086148484842e-08
103,illiquid,1798,-5.582004987399921,1.956128716742454e-07,0.1637009107284315,0.3025905964263743,-1.3718883610857862,0.247858244804109,-5.5752950290646,1.9501747214127498e-07,0.1429660333637697,0.2259757566173527,-1.300485685586649,0.2464078823170818,OLS,-5.582004987399921,1.9501747214127498e-07
108,mixed,3830,-6.459023792384055,1.2830387518735676e-08,0.0994255939254966,0.2828483016263162,-1.316688048224014,0.2378446057172866,-6.455520868056921,1.3052359364682194e-08,0.0821681191638803,0.1928935379873801,-1.22914262833109,0.23720936895946,OLS,-6.459023792384055,1.2830387518735676e-08
109,mixed,3822,-6.154433042942889,2.661158610995558e-08,0.1230056277853015,0.2061571864614359,-1.308614411127948,0.2357775192928059,-6.154322473619342,2.6446378738966256e-08,0.1045737671831319,0.1248521696811749,-1.240765296300358,0.2356547402573626,OLS,-6.154433042942889,2.6446378738966256e-08
111,liquid,1915,-6.715471987045414,6.157833075907717e-09,0.1195468401175044,0.1834064039033552,-1.271697072367164,0.2355862413434005,-6.715857397936611,6.253489507657474e-09,0.1034817317658278,0.0952686892886674,-1.191295359031395,0.2354933629228824,WLS,-6.715857397936611,6.157833075907717e-09
112,illiquid,1754,-5.51568042899825,2.3207820372888558e-07,0.1378031962559039,0.2412223748393953,-1.359897269335646,0.236732522476898,-5.513619251039589,2.2638709172023287e-07,0.1183891989440727,0.1613061437217,-1.2914700005385784,0.2348727991552738,OLS,-5.51568042899825,2.2638709172023287e-07
113,mixed,3827,-6.125874895532317,2.821098650560465e-08,0.1324750149917496,0.2432029610707423,-1.3465339545866448,0.2345401289827425,-6.121214600184636,2.7440878755561216e-08,0.1139776391446849,0.1566246145280754,-1.2709373837990583,0.2342240364738998,OLS,-6.125874895532317,2.7440878755561216e-08
116,illiquid,1866,-5.638254067694113,1.4325628400643686e-07,0.1102488373087573,0.3037402531589562,-1.4088217936872396,0.2374881223422881,-5.6304460888128265,1.3628837336003568e-07,0.0908421832586766,0.2180923698737361,-1.3267456938531843,0.2352423391352309,OLS,-5.638254067694113,1.3628837336003568e-07
119,liquid,1915,-6.801166503945201,5.3246939223754115e-09,0.1111581196003906,0.2381801282971592,-1.3398228759777282,0.232980998616554,-6.799110143977612,5.174341526490876e-09,0.0948492176083376,0.1560412998106765,-1.2751865643837283,0.2333469397254361,OLS,-6.801166503945201,5.174341526490876e-09
120,liquid,1915,-6.814413981343964,5.893581212834955e-09,0.0929114303535598,0.2046712947573579,-1.287866229448314,0.22524586565246,-6.813821437276274,6.003456367736962e-09,0.0768012982947671,0.1110032511237983,-1.2055342960854367,0.2266435499156288,OLS,-6.814413981343964,5.893581212834955e-09
122,mixed,3815,-6.2498443525125245,2.1564696549046873e-08,0.1162696899601843,0.1960596003327148,-1.3010045863752036,0.2347609390909122,-6.247713277795794,2.184033692511945e-08,0.0970334135902466,0.1140458860000343,-1.2282287756766486,0.234054321225255,OLS,-6.2498443525125245,2.1564696549046873e-08
123,liquid,1915,-7.006870484087873,3.803736832511188e-09,0.115381538483102,0.2079754736447117,-1.2972001440630758,0.2328276841851597,-7.006098638234949,3.804600292375037e-09,0.0971404394107806,0.1256270019437373,-1.2214654423771656,0.2335860033623566,OLS,-7.006870484087873,3.803736832511188e-09
124,liquid,1915,-6.453997288840203,8.705127017309084e-09,0.1048319946701172,0.2504740640094672,-1.3112790761791029,0.2331808001533842,-6.452449146719209,8.526273345009244e-09,0.086731472684792,0.1720555198622255,-1.24674636390862,0.2332841699774697,OLS,-6.453997288840203,8.526273345009244e-09
125,liquid,1915,-7.288812357246208,3.827142855717273e-09,0.0755164178002884,0.1296446043301251,-1.1748452482834868,0.2293386807351373,-7.284886022385546,3.87067867417164e-09,0.0585843136680922,0.0465160472325496,-1.1114664200055555,0.2303305298628329,OLS,-7.288812357246208,3.827142855717273e-09
126,illiquid,1852,-5.502950420617426,1.5995099064920273e-07,0.1156780851476907,0.1933044312662301,-1.2622661911483726,0.2358522893263878,-5.501478994386648,1.537045774429245e-07,0.101855689501313,0.1141784959912477,-1.204891702376799,0.2357730312406171,OLS,-5.502950420617426,1.537045774429245e-07
